seconds_pre_waveform_query	1729623915.8148422
seconds_post_waveform_query	1729623915.8617146
xzero1	0
xmultiplier1	5e-05
yzero1	0.864
ymultiplier1	0.008
transfer_duty_cycle	1.0
xzero2	0
xmultiplier2	5e-05
yzero2	0.32
ymultiplier2	0.08
xzero3	0
xmultiplier3	5e-05
yzero3	-0.74
ymultiplier3	0.02
xzero4	0
xmultiplier4	5e-05
yzero4	-0.0
ymultiplier4	0.388
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	0
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2], d[3], d[4] )\n\nxlabels = 'x'\nylabels = ( 'y1', 'y2', 'y3', 'y4' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y1	y2	y3	y4
0.01645	0.8877	1.36	-2.2	-5.043
0.0165	0.856	1.28	-2.121	-5.43
0.016550000000000002	0.6396	1.36	-2.24	-5.043
0.0166	0.6475	1.36	-2.22	-5.43
0.01665	0.592	1.28	-2.121	-5.043
0.0167	0.584	1.36	-2.2	-5.043
0.01675	0.6157	1.28	-2.121	-5.43
0.016800000000000002	0.632	1.28	-2.18	-5.43
0.01685	0.584	1.36	-2.121	-5.043
0.016900000000000002	0.584	1.28	-2.18	-5.43
0.01695	0.5596	1.36	-2.121	-5.043
0.017	0.5674	1.28	-2.14	-5.43
0.01705	0.5596	1.36	-2.102	-5.043
0.0171	0.5596	1.28	-2.121	-5.43
0.017150000000000002	0.5757	1.36	-2.06	-5.043
0.0172	0.5674	1.28	-2.08	-5.43
0.01725	0.584	1.36	-2.04	-5.043
0.0173	0.584	1.36	-2.06	-5.43
0.01735	0.5996	1.28	-1.98	-5.043
0.017400000000000002	0.592	1.28	-2.0	-5.43
0.01745	0.6157	1.36	-1.921	-5.043
0.0175	0.6074	1.28	-1.961	-5.43
0.01755	0.632	1.36	-1.86	-5.043
0.0176	0.632	1.28	-1.881	-5.043
0.017650000000000002	0.656	1.36	-1.801	-5.43
0.0177	0.6475	1.28	-1.82	-5.43
0.017750000000000002	0.6797	1.36	-1.721	-5.043
0.0178	0.6797	1.28	-1.721	-5.43
0.01785	0.7036	1.36	-1.621	-5.043
0.0179	0.696	1.36	-1.66	-5.43
0.01795	0.7275	1.12	-1.5205	-5.043
0.018000000000000002	0.7275	1.36	-1.541	-5.43
0.01805	0.7676	1.12	-1.44	-5.043
0.0181	0.76	1.2	-1.461	-5.043
0.01815	0.8	1.12	-1.32	-5.43
0.0182	0.792	1.12	-1.34	-5.43
0.018250000000000002	0.8315	1.2	-1.2	-5.043
0.0183	0.8315	1.12	-1.221	-5.43
0.01835	0.8877	1.2	-1.08	-5.043
0.0184	0.88	1.2	-1.101	-5.043
0.01845	0.92	1.12	-0.9604	-5.43
0.018500000000000003	0.92	1.12	-0.9805	-5.43
0.01855	0.968	1.2	-0.8403	-5.043
0.018600000000000002	0.96	1.2	-0.8604	-5.43
0.01865	1.008	1.12	-0.7	-5.043
0.0187	1.0	1.12	-0.74	-5.43
0.01875	1.056	1.2	-0.56	-5.043
0.0188	1.048	1.2	-0.6	-5.043
0.018850000000000002	1.096	1.12	-0.4402	-5.43
0.0189	1.088	1.12	-0.4602	-5.043
0.01895	1.144	1.2	-0.32	-5.43
0.019	1.136	1.2	-0.36	-5.43
0.01905	1.184	1.12	-0.2402	-5.043
0.019100000000000002	1.176	1.12	-0.2603	-5.43
0.01915	1.232	1.2	-0.1201	-5.043
0.019200000000000002	1.224	1.2	-0.1401	-5.43
0.01925	1.256	1.12	-0.02002	-5.043
0.0193	1.264	1.12	-0.04004	-5.043
0.019350000000000003	1.296	1.2	0.06006	-5.43
0.0194	1.288	1.12	0.06006	-5.43
0.019450000000000002	1.328	1.2	0.1602	-5.043
0.0195	1.328	1.2	0.1401	-5.43
0.01955	1.368	1.12	0.2397	-5.043
0.0196	1.359	1.2	0.2002	-5.43
0.01965	1.384	1.04	0.2998	-5.043
0.019700000000000002	1.376	1.04	0.2803	-5.043
0.01975	1.416	1.2	0.3604	-5.43
0.0198	1.408	1.04	0.3398	-5.43
0.01985	1.432	1.2	0.42	-5.043
0.0199	1.424	1.12	0.4004	-5.43
0.019950000000000002	1.448	1.04	0.46	-5.043
0.02	1.448	1.04	0.4404	-5.43
0.020050000000000002	1.464	1.12	0.5	-5.043
0.0201	1.456	1.04	0.46	-5.43
0.02015	1.48	1.12	0.5205	-5.043
0.020200000000000003	1.473	1.04	0.5	-5.043
0.02025	1.488	1.12	0.5596	-5.43
0.020300000000000002	1.48	1.04	0.58	-5.43
0.02035	1.496	1.12	0.5205	-5.043
0.0204	1.488	1.04	0.5596	-5.43
0.02045	1.512	1.12	0.5996	-5.043
0.0205	1.512	1.12	0.5996	-5.43
0.020550000000000002	1.504	1.04	0.58	-5.043
0.0206	1.504	1.04	0.6396	-5.43
0.02065	1.52	1.12	0.58	-5.043
